,System,Score
rank 1,refB,0.797606491065047
rank 2,chrf_bestmbr,0.6652650859558722
rank 3,comet_bestmbr,0.6622984122489604
rank 4,Online-W,0.6607680796929339
rank 5,Online-B,0.6607172323294737
rank 6,Lan-Bridge,0.660330506907044
rank 7,bleurt_bestmbr,0.6601866958464583
rank 8,Online-Y,0.6599898640118286
rank 9,bleu_bestmbr,0.659485159383245
rank 10,Online-G,0.6574428897331659
rank 11,Online-A,0.6569507659465414
rank 12,JDExploreAcademy,0.6568200864831759
rank 13,refA,0.6541803330616615
rank 14,QUARTZ_TuneReranking,0.6521341627857938
rank 15,PROMT,0.6499413889256097
rank 16,OpenNMT,0.6470828287924395
rank 17,M2M100_1.2B-B4,0.636853860002769
