,System,Score
rank 1,refB,2.015670119225836
rank 2,comet_bestmbr,1.8644387315887927
rank 3,bleurt_bestmbr,1.8499478897161223
rank 4,chrf_bestmbr,1.847857432995964
rank 5,Online-B,1.8363103354582708
rank 6,Online-Y,1.8348322266883876
rank 7,Online-W,1.8343227520736929
rank 8,Lan-Bridge,1.8316400461093199
rank 9,bleu_bestmbr,1.8297871884980466
rank 10,refA,1.826896248406829
rank 11,Online-G,1.8227017720247374
rank 12,JDExploreAcademy,1.8224660802623363
rank 13,QUARTZ_TuneReranking,1.817973110589325
rank 14,Online-A,1.8178010129991629
rank 15,PROMT,1.797298383146655
rank 16,OpenNMT,1.793339527576359
rank 17,M2M100_1.2B-B4,1.757330781391679
