,System,Score
rank 1,refB,2.4328565776441127
rank 2,chrf_bestmbr,1.4307051309417502
rank 3,Online-B,1.427849033305657
rank 4,bleu_bestmbr,1.4251346504772644
rank 5,Lan-Bridge,1.423526111910622
rank 6,Online-Y,1.4121058768979606
rank 7,Online-G,1.4068283525628091
rank 8,Online-A,1.3955239220128879
rank 9,JDExploreAcademy,1.3837119976088101
rank 10,Online-W,1.3779697035153824
rank 11,comet_bestmbr,1.3768831128115373
rank 12,PROMT,1.3470400873510036
rank 13,bleurt_bestmbr,1.3376850768280737
rank 14,refA,1.3231313322975935
rank 15,OpenNMT,1.318697382561382
rank 16,QUARTZ_TuneReranking,1.3179468411527
rank 17,M2M100_1.2B-B4,1.2462736907683658
