,System,Score
rank 1,refA,0.9055791826580768
rank 2,JDExploreAcademy,0.5367490014255163
rank 3,chrf_bestmbr,0.5342255404884467
rank 4,bleu_bestmbr,0.5340389250088412
rank 5,Online-W,0.5321712873565773
rank 6,Online-B,0.5315662849689071
rank 7,Online-Y,0.525672277307111
rank 8,Online-A,0.5254681115046307
rank 9,PROMT,0.5233508954074957
rank 10,OpenNMT,0.5232129555133382
rank 11,Online-G,0.5231222286911228
rank 12,bleurt_bestmbr,0.5193914180704253
rank 13,comet_bestmbr,0.5171403727662922
rank 14,QUARTZ_TuneReranking,0.5162400602988313
rank 15,Lan-Bridge,0.5098960381740203
rank 16,refB,0.5028676675514848
rank 17,M2M100_1.2B-B4,0.4992214961146183
