,System,Score
rank 1,refA,0.7522776404379208
rank 2,Online-W,0.6429911178427323
rank 3,bleurt_bestmbr,0.6411368837788761
rank 4,chrf_bestmbr,0.6394014014984523
rank 5,JDExploreAcademy,0.637832592183056
rank 6,comet_bestmbr,0.6374420259749305
rank 7,QUARTZ_TuneReranking,0.636123151206469
rank 8,bleu_bestmbr,0.634667157167644
rank 9,Online-B,0.6345683175449186
rank 10,Online-A,0.6319009119767107
rank 11,Online-G,0.6318421396288026
rank 12,Online-Y,0.6315074008891813
rank 13,PROMT,0.6284357232147413
rank 14,OpenNMT,0.6279325183633213
rank 15,refB,0.6236437535581336
rank 16,M2M100_1.2B-B4,0.6152676042501137
rank 17,Lan-Bridge,0.6108476197067271
