,System,Score
rank 1,refA,1.593400384448583
rank 2,bleurt_bestmbr,1.1412735931585403
rank 3,comet_bestmbr,1.1364721198862728
rank 4,Online-W,1.1359076539561765
rank 5,QUARTZ_TuneReranking,1.128228825349659
rank 6,chrf_bestmbr,1.1133849888898115
rank 7,JDExploreAcademy,1.1096659264251088
rank 8,bleu_bestmbr,1.101652517070083
rank 9,Online-B,1.0994185907426581
rank 10,Online-G,1.0988500740829767
rank 11,Online-A,1.0964528239807285
rank 12,Online-Y,1.0951933859072687
rank 13,refB,1.0876391278685673
rank 14,PROMT,1.0841176342935044
rank 15,OpenNMT,1.0822714331596157
rank 16,M2M100_1.2B-B4,1.063440294259974
rank 17,Lan-Bridge,1.0254039917508668
