,System,Score
rank 1,refA,2.283496867758465
rank 2,JDExploreAcademy,1.3452656329797712
rank 3,bleu_bestmbr,1.3422323926763
rank 4,chrf_bestmbr,1.3386663110997552
rank 5,Online-W,1.3330475648677553
rank 6,Online-B,1.329071633154388
rank 7,Online-A,1.3095672751807759
rank 8,Online-Y,1.3074889902831952
rank 9,Online-G,1.3030627050172958
rank 10,PROMT,1.2994451534571687
rank 11,OpenNMT,1.289610104878129
rank 12,comet_bestmbr,1.2870760622015778
rank 13,QUARTZ_TuneReranking,1.2790763133477747
rank 14,bleurt_bestmbr,1.2762619273852513
rank 15,Lan-Bridge,1.2443100821415116
rank 16,refB,1.2060745472812366
rank 17,M2M100_1.2B-B4,1.1997615270375481
