,System,Score
rank 1,refB,0.9048220541912448
rank 2,chrf_bestmbr,0.5254983784298731
rank 3,JDExploreAcademy,0.5236554866272893
rank 4,bleu_bestmbr,0.5206589696660108
rank 5,Online-B,0.5199572408568724
rank 6,Online-A,0.5172071987981537
rank 7,Online-Y,0.5171966878515529
rank 8,Online-W,0.5137753255961851
rank 9,Online-G,0.5136440980909955
rank 10,OpenNMT,0.5123834128138108
rank 11,PROMT,0.5114921789159738
rank 12,comet_bestmbr,0.5066223088561206
rank 13,bleurt_bestmbr,0.5058629779293277
rank 14,QUARTZ_TuneReranking,0.5030937830243313
rank 15,Lan-Bridge,0.5000615465599378
rank 16,refA,0.49883923794348517
rank 17,M2M100_1.2B-B4,0.49158456510425097
