,System,Score
rank 1,refB,0.771624904268908
rank 2,chrf_bestmbr,0.6300183405618504
rank 3,JDExploreAcademy,0.6278621790445409
rank 4,Online-W,0.6261690566965382
rank 5,Online-B,0.625743279289201
rank 6,Online-A,0.62571388157028
rank 7,bleu_bestmbr,0.6245831490150595
rank 8,Online-Y,0.624348590649478
rank 9,Online-G,0.6234762738303697
rank 10,bleurt_bestmbr,0.6227798147106995
rank 11,PROMT,0.6219989578617474
rank 12,OpenNMT,0.6214446888772249
rank 13,comet_bestmbr,0.6211490899534458
rank 14,QUARTZ_TuneReranking,0.6182155770634942
rank 15,refA,0.6179251141264438
rank 16,Lan-Bridge,0.6155445986729595
rank 17,M2M100_1.2B-B4,0.6121770207520457
