,System,Score
rank 1,refB,1.5885100154291878
rank 2,comet_bestmbr,1.108673606101568
rank 3,bleurt_bestmbr,1.108202535818238
rank 4,Online-W,1.0916563728578206
rank 5,QUARTZ_TuneReranking,1.0863290753446195
rank 6,chrf_bestmbr,1.0839964998547227
rank 7,refA,1.075057470271152
rank 8,Online-Y,1.0722052973236955
rank 9,Online-G,1.0696059215080644
rank 10,Online-A,1.0663586526263555
rank 11,bleu_bestmbr,1.0647388858957827
rank 12,Online-B,1.0637867775504146
rank 13,JDExploreAcademy,1.0627318455928756
rank 14,OpenNMT,1.0544387059989215
rank 15,PROMT,1.0464905283225137
rank 16,M2M100_1.2B-B4,1.0328425921709359
rank 17,Lan-Bridge,0.9985921893108092
