,System,Score
rank 1,refB,1.9373080314128128
rank 2,chrf_bestmbr,0.949401058431345
rank 3,JDExploreAcademy,0.937836824028286
rank 4,bleu_bestmbr,0.9362522204412529
rank 5,Online-B,0.930873294806256
rank 6,Online-Y,0.9228548398928492
rank 7,Online-A,0.9207514111433187
rank 8,Online-G,0.9080732509758178
rank 9,Online-W,0.9068633145933704
rank 10,OpenNMT,0.9005398334828594
rank 11,comet_bestmbr,0.8978249876331275
rank 12,PROMT,0.8960791986320601
rank 13,bleurt_bestmbr,0.8846774017478077
rank 14,QUARTZ_TuneReranking,0.8800339366935015
rank 15,refA,0.8581902940691091
rank 16,Lan-Bridge,0.8565392869379902
rank 17,M2M100_1.2B-B4,0.8300640149547485
