,System,Score
rank 1,refA,0.9240399513260594
rank 2,Online-W,0.5136082701964042
rank 3,chrf_bestmbr,0.5037838549147161
rank 4,JDExploreAcademy,0.5035678180298252
rank 5,bleu_bestmbr,0.5012995980895777
rank 6,Online-B,0.5010655272651517
rank 7,Online-Y,0.4997487874207976
rank 8,Online-A,0.4940490895763276
rank 9,Lan-Bridge,0.49367399018430186
rank 10,Online-G,0.49164100098348124
rank 11,PROMT,0.4892328390779103
rank 12,refB,0.4875677642640901
rank 13,QUARTZ_TuneReranking,0.4850157508054323
rank 14,comet_bestmbr,0.48421788261990056
rank 15,bleurt_bestmbr,0.48049844180200846
rank 16,OpenNMT,0.47811719118067114
rank 17,M2M100_1.2B-B4,0.45782258284102706
