,System,Score
rank 1,refA,1.9550794292188272
rank 2,Online-W,1.6978755698233456
rank 3,comet_bestmbr,1.6807867178670801
rank 4,refB,1.665101662240465
rank 5,bleurt_bestmbr,1.6585188582284265
rank 6,Online-Y,1.6560181984770126
rank 7,chrf_bestmbr,1.653939908902947
rank 8,JDExploreAcademy,1.6527208002204816
rank 9,QUARTZ_TuneReranking,1.6484318081877944
rank 10,Online-A,1.637577568727555
rank 11,bleu_bestmbr,1.6372059711700875
rank 12,Online-B,1.6371117356992382
rank 13,Online-G,1.6319853243059168
rank 14,Lan-Bridge,1.6276714551278826
rank 15,PROMT,1.6207116395546757
rank 16,OpenNMT,1.5989013571518043
rank 17,M2M100_1.2B-B4,1.5593091291458216
