,System,Score
rank 1,refB,0.9237492294715983
rank 2,chrf_bestmbr,0.5039066158192173
rank 3,Online-Y,0.5036405689828138
rank 4,Online-W,0.5032630558285948
rank 5,Online-B,0.502871632999412
rank 6,bleu_bestmbr,0.5009624578206009
rank 7,JDExploreAcademy,0.4983175797762633
rank 8,Online-A,0.4981260042802029
rank 9,Lan-Bridge,0.495064780609091
rank 10,Online-G,0.49368538029354664
rank 11,PROMT,0.49202838895513856
rank 12,comet_bestmbr,0.4847401376257253
rank 13,refA,0.4818526226175989
rank 14,bleurt_bestmbr,0.4818080043160849
rank 15,OpenNMT,0.48002256686205497
rank 16,QUARTZ_TuneReranking,0.4767190278952045
rank 17,M2M100_1.2B-B4,0.4617197182271235
