,System,Score
rank 1,refB,1.0
rank 2,comet_bestmbr,0.5615694446685572
rank 3,bleurt_bestmbr,0.5610069118383822
rank 4,QUARTZ_TuneReranking,0.5609086370444334
rank 5,refA,0.5517657559069983
rank 6,M2M100_1.2B-B4,0.550692705817144
rank 7,OpenNMT,0.540564153769346
rank 8,Online-W,0.5309535696455318
rank 9,PROMT,0.5254618072890664
rank 10,Online-G,0.5229655516724913
rank 11,chrf_bestmbr,0.5163504742885672
rank 12,Online-A,0.5154767848227658
rank 13,Lan-Bridge,0.5111083374937594
rank 14,JDExploreAcademy,0.510234648027958
rank 15,Online-Y,0.5083624563155267
rank 16,Online-B,0.5067398901647528
rank 17,bleu_bestmbr,0.5011233150274588
