,System,Score
rank 1,refB,0.7787425217737967
rank 2,chrf_bestmbr,0.6097913076303317
rank 3,Online-W,0.6097719070158385
rank 4,Online-Y,0.6072592346380185
rank 5,Online-B,0.6066574835731613
rank 6,Online-A,0.6051081694188272
rank 7,bleu_bestmbr,0.6046215711052699
rank 8,JDExploreAcademy,0.6042878670929425
rank 9,Online-G,0.6032069185073531
rank 10,PROMT,0.6030208210009578
rank 11,Lan-Bridge,0.6021672882965124
rank 12,bleurt_bestmbr,0.600909600313538
rank 13,comet_bestmbr,0.6001541384469148
rank 14,refA,0.5996513184660249
rank 15,OpenNMT,0.5944232787900768
rank 16,QUARTZ_TuneReranking,0.5937893588812935
rank 17,M2M100_1.2B-B4,0.584611293219714
