,System,Score
rank 1,refB,4.101272457315525
rank 2,Online-Y,1.7542428164798993
rank 3,chrf_bestmbr,1.7524451230461366
rank 4,bleu_bestmbr,1.7506600963711185
rank 5,Online-B,1.749951195489201
rank 6,Online-W,1.741192832867446
rank 7,JDExploreAcademy,1.72031465566335
rank 8,Online-A,1.716539141776698
rank 9,Lan-Bridge,1.7090658061703836
rank 10,Online-G,1.6865647343677703
rank 11,PROMT,1.670853411641176
rank 12,comet_bestmbr,1.6244990456763386
rank 13,OpenNMT,1.5970979301258579
rank 14,bleurt_bestmbr,1.577921455884411
rank 15,refA,1.5765990433900088
rank 16,QUARTZ_TuneReranking,1.5704614445947738
rank 17,M2M100_1.2B-B4,1.4820070918388664
