,System,Score
rank 1,refB,1.7107624824341203
rank 2,comet_bestmbr,1.074613559618621
rank 3,Online-W,1.070994499035873
rank 4,bleurt_bestmbr,1.0607956542595793
rank 5,refA,1.0550208966722323
rank 6,chrf_bestmbr,1.0335795371760597
rank 7,Online-Y,1.033166705398552
rank 8,Online-B,1.0234463550703614
rank 9,bleu_bestmbr,1.0204299182028804
rank 10,Online-A,1.0127100584782376
rank 11,QUARTZ_TuneReranking,1.0105483776584
rank 12,JDExploreAcademy,1.0064885073921614
rank 13,Online-G,1.005535743273987
rank 14,Lan-Bridge,1.0026603317276432
rank 15,PROMT,0.9937313133785253
rank 16,OpenNMT,0.9783212464971013
rank 17,M2M100_1.2B-B4,0.9450733576420365
