,System,Score
rank 1,refA,0.972728574518752
rank 2,Online-Y,0.5909494457117643
rank 3,Online-B,0.5811657530018083
rank 4,chrf_bestmbr,0.5739861592938433
rank 5,bleu_bestmbr,0.573864052106132
rank 6,comet_bestmbr,0.5685546152405299
rank 7,Online-W,0.5517945262695045
rank 8,Online-G,0.5463145360956518
rank 9,Lan-Bridge,0.5452381950167858
rank 10,Online-A,0.5445334676981016
rank 11,PROMT,0.5323924790749589
rank 12,JDExploreAcademy,0.5310007112953914
rank 13,SRPOL,0.5298684327981559
rank 14,HuaweiTSC,0.505277403797557
rank 15,eTranslation,0.5043943511249896
rank 16,M2M100_1.2B-B4,0.4705519189806049
rank 17,QUARTZ_TuneReranking,0.46992685927449424
