,System,Score
rank 1,refA,0.8639622965206135
rank 2,Online-Y,0.7145293882109056
rank 3,comet_bestmbr,0.713658707755911
rank 4,Online-B,0.7027904355283732
rank 5,chrf_bestmbr,0.6977251128302119
rank 6,bleu_bestmbr,0.6910840549069968
rank 7,Online-W,0.6809608746294694
rank 8,Online-G,0.6806003836727559
rank 9,Online-A,0.6760897162458138
rank 10,SRPOL,0.666925990765775
rank 11,Lan-Bridge,0.6652353795222712
rank 12,JDExploreAcademy,0.6638091299581219
rank 13,PROMT,0.6587126273842251
rank 14,eTranslation,0.6444641448044532
rank 15,HuaweiTSC,0.635839029318548
rank 16,QUARTZ_TuneReranking,0.6354558307542401
rank 17,M2M100_1.2B-B4,0.6094515364596887
