,System,Score
rank 1,refA,0.9498057168288374
rank 2,chrf_bestmbr,0.5545431481781311
rank 3,Online-G,0.5513362966294567
rank 4,bleu_bestmbr,0.5507536340011273
rank 5,Online-B,0.5507077564090317
rank 6,Online-Y,0.5486242364711164
rank 7,Lan-Bridge,0.5482062203441654
rank 8,Online-W,0.5466774679523659
rank 9,JDExploreAcademy,0.5440599342790173
rank 10,Online-A,0.5429652417181314
rank 11,comet_bestmbr,0.536645482235883
rank 12,eTranslation,0.5301401679398069
rank 13,HuaweiTSC,0.5298764594409981
rank 14,SRPOL,0.5217162196935747
rank 15,PROMT,0.5193124600131267
rank 16,M2M100_1.2B-B4,0.5128290607579453
rank 17,QUARTZ_TuneReranking,0.4975580182944799
