,System,Score
rank 1,refA,1.0
rank 2,chrf_bestmbr,0.6338048145708453
rank 3,Online-G,0.6251812688235452
rank 4,Online-B,0.6209782592845159
rank 5,Lan-Bridge,0.6208168919609949
rank 6,bleu_bestmbr,0.6206668605062535
rank 7,Online-Y,0.6167300658400197
rank 8,JDExploreAcademy,0.6155089735387376
rank 9,Online-A,0.6137030265944818
rank 10,Online-W,0.6076700993614953
rank 11,eTranslation,0.5952138269050099
rank 12,QUARTZ_TuneReranking,0.5917050366562282
rank 13,SRPOL,0.5914514835185808
rank 14,HuaweiTSC,0.5905239623177149
rank 15,comet_bestmbr,0.5826217980914113
rank 16,PROMT,0.5822776242353673
rank 17,M2M100_1.2B-B4,0.5680562531391261
