,System,Score
rank 1,refA,0.7885411355044225
rank 2,chrf_bestmbr,0.6367139005336082
rank 3,Online-G,0.635335488983214
rank 4,Online-W,0.6323690187901508
rank 5,Online-B,0.6309505457278916
rank 6,Online-Y,0.6305949481008997
rank 7,bleu_bestmbr,0.6302586623556024
rank 8,Lan-Bridge,0.6295331260511902
rank 9,Online-A,0.6291529786505338
rank 10,JDExploreAcademy,0.6290626653230018
rank 11,comet_bestmbr,0.6280057119060969
rank 12,eTranslation,0.6230904441024342
rank 13,HuaweiTSC,0.6222480353198488
rank 14,SRPOL,0.618897694568506
rank 15,PROMT,0.6170614356469816
rank 16,M2M100_1.2B-B4,0.6114399549717013
rank 17,QUARTZ_TuneReranking,0.6056306804912017
