,System,Score
rank 1,refA,2.1287435165657493
rank 2,comet_bestmbr,1.9901629482760934
rank 3,Online-W,1.9502134287074222
rank 4,chrf_bestmbr,1.9371910903853022
rank 5,Online-G,1.936792374256904
rank 6,Online-Y,1.933836664240316
rank 7,Online-B,1.9233725770781314
rank 8,bleu_bestmbr,1.919595573526009
rank 9,Lan-Bridge,1.9109560013675444
rank 10,Online-A,1.9108603875387888
rank 11,QUARTZ_TuneReranking,1.9028913013414144
rank 12,JDExploreAcademy,1.9000322575285906
rank 13,HuaweiTSC,1.8931045464316532
rank 14,eTranslation,1.8751840934228725
rank 15,PROMT,1.8607614599218647
rank 16,M2M100_1.2B-B4,1.8531212546765448
rank 17,SRPOL,1.8484201375942004
