,System,Score
rank 1,refA,2.5241373338010624
rank 2,chrf_bestmbr,1.4593560847401208
rank 3,bleu_bestmbr,1.4547351877438852
rank 4,Online-Y,1.4516122922852337
rank 5,Online-B,1.4513741064459968
rank 6,Online-G,1.4490250278296826
rank 7,Lan-Bridge,1.4421981297447384
rank 8,Online-W,1.4353452915427491
rank 9,Online-A,1.4164545657608845
rank 10,JDExploreAcademy,1.4153329073934968
rank 11,comet_bestmbr,1.4053494085643554
rank 12,HuaweiTSC,1.365325900233209
rank 13,eTranslation,1.3542173126014523
rank 14,SRPOL,1.3270038423575987
rank 15,PROMT,1.318627329545673
rank 16,M2M100_1.2B-B4,1.2970345036494086
rank 17,QUARTZ_TuneReranking,1.2365645769021238
