,System,Score
rank 1,refA,0.925882810465877
rank 2,chrf_bestmbr,0.516880072180489
rank 3,Online-B,0.5149074993810872
rank 4,bleu_bestmbr,0.5136115078914539
rank 5,Online-W,0.5101862320735551
rank 6,Online-G,0.5088805037786643
rank 7,Online-A,0.507348078432255
rank 8,JDExploreAcademy,0.5071408346808682
rank 9,comet_bestmbr,0.5056118544137314
rank 10,HuaweiTSC,0.5015523960479131
rank 11,SRPOL,0.49955615184549196
rank 12,Online-Y,0.49883107462423226
rank 13,PROMT,0.4965353318186029
rank 14,eTranslation,0.4955157668953394
rank 15,QUARTZ_TuneReranking,0.49396069843945395
rank 16,Lan-Bridge,0.49317168690081015
rank 17,M2M100_1.2B-B4,0.4843975924525106
