,System,Score
rank 1,refA,0.7879412307257716
rank 2,comet_bestmbr,0.6615971406006955
rank 3,Online-W,0.6610074005532667
rank 4,chrf_bestmbr,0.6595356126241504
rank 5,QUARTZ_TuneReranking,0.6593014125880206
rank 6,Online-B,0.6562543786526874
rank 7,Online-G,0.6560337192920948
rank 8,JDExploreAcademy,0.6546659425133282
rank 9,bleu_bestmbr,0.6539011813698657
rank 10,HuaweiTSC,0.6513709292172921
rank 11,Online-A,0.6512705579002396
rank 12,SRPOL,0.6477187416891278
rank 13,PROMT,0.645817842647595
rank 14,eTranslation,0.6453075824417327
rank 15,Online-Y,0.6451307889329149
rank 16,M2M100_1.2B-B4,0.6393905862362491
rank 17,Lan-Bridge,0.6349210308155355
