,System,Score
rank 1,refA,1.7245434964887074
rank 2,QUARTZ_TuneReranking,1.2842809488531608
rank 3,comet_bestmbr,1.284205917774204
rank 4,Online-W,1.2654624341737548
rank 5,chrf_bestmbr,1.2376642154094306
rank 6,Online-G,1.236941304649802
rank 7,JDExploreAcademy,1.2340605676382348
rank 8,Online-B,1.2291939456600482
rank 9,HuaweiTSC,1.2242723194105474
rank 10,bleu_bestmbr,1.2201708683747308
rank 11,Online-A,1.2145666679556606
rank 12,SRPOL,1.2079677163087983
rank 13,PROMT,1.2051929235031795
rank 14,eTranslation,1.2011162441995653
rank 15,Online-Y,1.1974605663777025
rank 16,M2M100_1.2B-B4,1.190071982130429
rank 17,Lan-Bridge,1.1627187977230617
