,System,Score
rank 1,refA,2.0465077132364904
rank 2,chrf_bestmbr,0.9479166026439897
rank 3,Online-B,0.9465017191928286
rank 4,bleu_bestmbr,0.9436266611161755
rank 5,Online-W,0.9352530739750768
rank 6,comet_bestmbr,0.9325415394320076
rank 7,Online-G,0.929649026160679
rank 8,JDExploreAcademy,0.9169553270706399
rank 9,Online-A,0.9122541179472439
rank 10,HuaweiTSC,0.8995171585858416
rank 11,Online-Y,0.8896748034972135
rank 12,SRPOL,0.8890740938434138
rank 13,QUARTZ_TuneReranking,0.8857774899504159
rank 14,PROMT,0.8751615219268413
rank 15,eTranslation,0.8728108962237515
rank 16,Lan-Bridge,0.8704757210639237
rank 17,M2M100_1.2B-B4,0.8360437375265444
