,System,Score
rank 1,refA,0.8050028984045688
rank 2,Online-G,0.6438437175911522
rank 3,chrf_bestmbr,0.6418609960878491
rank 4,comet_bestmbr,0.640889867921762
rank 5,Online-W,0.6393480200674936
rank 6,JDExploreAcademy,0.6372862070407426
rank 7,Online-B,0.6361096456517762
rank 8,bleu_bestmbr,0.6338952295253891
rank 9,Online-A,0.6310941222125582
rank 10,Online-Y,0.6296046506220055
rank 11,Lan-Bridge,0.6286119943554141
rank 12,SRPOL,0.6253544038520313
rank 13,PROMT,0.6222979243399759
rank 14,QUARTZ_TuneReranking,0.6220819886256083
rank 15,eTranslation,0.6196920311469468
rank 16,HuaweiTSC,0.6193735096225359
rank 17,M2M100_1.2B-B4,0.6053836827383184
