,System,Score
rank 1,refA,4.193776348353606
rank 2,Online-G,1.8045287735427138
rank 3,chrf_bestmbr,1.8026295323272181
rank 4,bleu_bestmbr,1.7948912590980453
rank 5,JDExploreAcademy,1.7848444656203482
rank 6,Online-B,1.7820838523634248
rank 7,Online-W,1.7775626811183791
rank 8,Lan-Bridge,1.7395395708063328
rank 9,Online-Y,1.7010163016323854
rank 10,Online-A,1.6778005932780526
rank 11,comet_bestmbr,1.6461828848762385
rank 12,SRPOL,1.5917125826161655
rank 13,HuaweiTSC,1.5769863398910595
rank 14,PROMT,1.5721850220535996
rank 15,eTranslation,1.542915870871341
rank 16,QUARTZ_TuneReranking,1.441899508456591
rank 17,M2M100_1.2B-B4,1.426250290809759
