,System,Score
rank 1,refA,0.9493711429739212
rank 2,refB,0.5803342234709808
rank 3,HuaweiTSC,0.5013359897295858
rank 4,QUARTZ_TuneReranking,0.4842790656925056
rank 5,Online-W,0.4761362535570931
rank 6,Online-G,0.47351350601260317
rank 7,LanguageX,0.46856323376706543
rank 8,AISP-SJTU,0.4685286221694788
rank 9,chrf_bestmbr,0.4673357824443274
rank 10,comet_bestmbr,0.4630917484187073
rank 11,Lan-Bridge,0.4588528645181555
rank 12,JDExploreAcademy,0.458764524100362
rank 13,bleurt_bestmbr,0.4538401744215123
rank 14,Online-A,0.44922416893991357
rank 15,Online-Y,0.448665259524104
rank 16,Online-B,0.44628435623672563
rank 17,NiuTrans,0.445705937770923
rank 18,bleu_bestmbr,0.4432086902728342
rank 19,DLUT,0.4372570457822055
rank 20,M2M100_1.2B-B4,0.4110105245161842
