,System,Score
rank 1,refB,0.9480643648619151
rank 2,refA,0.5729793522084814
rank 3,HuaweiTSC,0.46378391509742745
rank 4,QUARTZ_TuneReranking,0.4558274627478834
rank 5,Online-G,0.4424941274297181
rank 6,Online-W,0.4371250545277201
rank 7,LanguageX,0.4347761036700165
rank 8,AISP-SJTU,0.43291787421877376
rank 9,chrf_bestmbr,0.4305615464308407
rank 10,comet_bestmbr,0.4301076963908157
rank 11,Lan-Bridge,0.4279072389523159
rank 12,JDExploreAcademy,0.4232011420530757
rank 13,bleurt_bestmbr,0.42124552496286
rank 14,Online-B,0.4149406864389303
rank 15,Online-A,0.41445740728411407
rank 16,Online-Y,0.4140459112778036
rank 17,bleu_bestmbr,0.40612867191261387
rank 18,NiuTrans,0.40582641909973743
rank 19,DLUT,0.40160266582705384
rank 20,M2M100_1.2B-B4,0.38176660343217733
