,System,Score
rank 1,refA,0.7716794871285193
rank 2,refB,0.6613191715419052
rank 3,chrf_bestmbr,0.6202379850795512
rank 4,bleurt_bestmbr,0.6161145995825956
rank 5,Online-G,0.614352828323249
rank 6,bleu_bestmbr,0.6106277853104147
rank 7,Online-B,0.6092335663433647
rank 8,QUARTZ_TuneReranking,0.6084768843519097
rank 9,LanguageX,0.6079443904998098
rank 10,JDExploreAcademy,0.6046680513905351
rank 11,Online-Y,0.6044845507854246
rank 12,Lan-Bridge,0.6041968938114991
rank 13,HuaweiTSC,0.6037004761783854
rank 14,AISP-SJTU,0.6025764572406044
rank 15,comet_bestmbr,0.6010337278862679
rank 16,Online-A,0.6004827033009035
rank 17,Online-W,0.5956415701477413
rank 18,NiuTrans,0.593858481574245
rank 19,DLUT,0.5935470483416191
rank 20,M2M100_1.2B-B4,0.5715911968313082
