,System,Score
rank 1,refA,1.8265269979941618
rank 2,comet_bestmbr,1.7353398422653075
rank 3,bleurt_bestmbr,1.7200377104709448
rank 4,refB,1.7193680058607448
rank 5,chrf_bestmbr,1.7048984336267063
rank 6,Online-G,1.6887033505697913
rank 7,bleu_bestmbr,1.6711131734847091
rank 8,Online-B,1.6635993472893689
rank 9,Lan-Bridge,1.6580742571619225
rank 10,Online-Y,1.652674396360398
rank 11,QUARTZ_TuneReranking,1.6500645967832115
rank 12,LanguageX,1.647039969130392
rank 13,JDExploreAcademy,1.6420391147990485
rank 14,HuaweiTSC,1.635792228036533
rank 15,AISP-SJTU,1.633146332769637
rank 16,DLUT,1.6046501661384576
rank 17,Online-A,1.598652191401717
rank 18,NiuTrans,1.5723354560711331
rank 19,Online-W,1.5571369833066673
rank 20,M2M100_1.2B-B4,1.5142225227549428
