,System,Score
rank 1,refA,1.9380606146750858
rank 2,refB,1.1118956043392614
rank 3,chrf_bestmbr,0.7056096727697156
rank 4,bleurt_bestmbr,0.7038546821979927
rank 5,bleu_bestmbr,0.7020571887840558
rank 6,Online-G,0.6864378771211932
rank 7,comet_bestmbr,0.6755926881329197
rank 8,LanguageX,0.6743945312034467
rank 9,Online-B,0.6729083572908257
rank 10,Lan-Bridge,0.672229892862036
rank 11,JDExploreAcademy,0.6661848214221838
rank 12,Online-Y,0.6507836375275213
rank 13,AISP-SJTU,0.6473935525591961
rank 14,HuaweiTSC,0.6387593868810096
rank 15,Online-A,0.5950857016194573
rank 16,DLUT,0.5742067127265149
rank 17,NiuTrans,0.5596182191775301
rank 18,Online-W,0.5443158603666755
rank 19,M2M100_1.2B-B4,0.46127059633789047
rank 20,QUARTZ_TuneReranking,0.42246941635494484
