,System,Score
rank 1,refB,1.0
rank 2,refA,0.6209286052471163
rank 3,chrf_bestmbr,0.5226643711386055
rank 4,LanguageX,0.5108428226621003
rank 5,bleu_bestmbr,0.5090341907364401
rank 6,Online-G,0.5084652276130329
rank 7,JDExploreAcademy,0.5077765087480852
rank 8,bleurt_bestmbr,0.504823512427747
rank 9,Online-B,0.5036024009291231
rank 10,Lan-Bridge,0.502628996469168
rank 11,AISP-SJTU,0.4995024842019269
rank 12,HuaweiTSC,0.49278236206530324
rank 13,Online-Y,0.48877274614705335
rank 14,Online-A,0.4847341747258225
rank 15,NiuTrans,0.4707859071975812
rank 16,Online-W,0.46948900257846904
rank 17,DLUT,0.4654690332863496
rank 18,comet_bestmbr,0.4588991455848893
rank 19,M2M100_1.2B-B4,0.4255784235919069
rank 20,QUARTZ_TuneReranking,0.41459824810103824
