,System,Score
rank 1,refB,0.7711992348131533
rank 2,refA,0.6623145821586315
rank 3,chrf_bestmbr,0.6206592349731765
rank 4,bleurt_bestmbr,0.6149225404577168
rank 5,Online-G,0.6134467176327123
rank 6,Online-B,0.6082805971254575
rank 7,bleu_bestmbr,0.6080582348925384
rank 8,LanguageX,0.6073877898647188
rank 9,JDExploreAcademy,0.6062752031661144
rank 10,QUARTZ_TuneReranking,0.6061385156727165
rank 11,HuaweiTSC,0.6029964154058679
rank 12,Lan-Bridge,0.6027793638624599
rank 13,AISP-SJTU,0.6027304463627591
rank 14,Online-Y,0.6026023897363891
rank 15,comet_bestmbr,0.5993170929012652
rank 16,Online-A,0.5993164251404302
rank 17,Online-W,0.5931318463338157
rank 18,DLUT,0.5926908328592584
rank 19,NiuTrans,0.592392679116508
rank 20,M2M100_1.2B-B4,0.5711005453254673
