,System,Score
rank 1,refB,1.8179192909660915
rank 2,refA,1.7220571347989355
rank 3,comet_bestmbr,1.7208695994612349
rank 4,bleurt_bestmbr,1.7143684272983613
rank 5,chrf_bestmbr,1.6989385565558441
rank 6,Online-G,1.6850946159185567
rank 7,bleu_bestmbr,1.656565587533466
rank 8,Online-B,1.6558370882745512
rank 9,Lan-Bridge,1.6479687905973317
rank 10,Online-Y,1.64591480256845
rank 11,JDExploreAcademy,1.6445296189533707
rank 12,LanguageX,1.6406601702843153
rank 13,QUARTZ_TuneReranking,1.6304295771198005
rank 14,HuaweiTSC,1.6301031968144304
rank 15,AISP-SJTU,1.6286236825442235
rank 16,DLUT,1.5935463541554287
rank 17,Online-A,1.588286609502092
rank 18,NiuTrans,1.5591855336912943
rank 19,Online-W,1.5496653353382648
rank 20,M2M100_1.2B-B4,1.50521116051361
