,System,Score
rank 1,refB,3.9754672808405607
rank 2,refA,2.251726928731048
rank 3,chrf_bestmbr,1.2762252002916257
rank 4,bleu_bestmbr,1.2665010917435708
rank 5,bleurt_bestmbr,1.2500456100248292
rank 6,JDExploreAcademy,1.237995296581445
rank 7,Online-G,1.2364346754840527
rank 8,Lan-Bridge,1.234613006434961
rank 9,LanguageX,1.2338153297997647
rank 10,Online-B,1.2218829008212788
rank 11,AISP-SJTU,1.1932901411577372
rank 12,Online-Y,1.1649647464267927
rank 13,HuaweiTSC,1.163377461890788
rank 14,comet_bestmbr,1.162237710977842
rank 15,Online-A,1.0856249389563755
rank 16,DLUT,1.048533956609036
rank 17,NiuTrans,1.0425539589307438
rank 18,Online-W,1.0159726663653224
rank 19,M2M100_1.2B-B4,0.8501886372917808
rank 20,QUARTZ_TuneReranking,0.7150690046458622
