,System,Score
rank 1,refA,0.881798326471739
rank 2,refB,0.5716471290435495
rank 3,JDExploreAcademy,0.5006033252829151
rank 4,LanguageX,0.5005907977509942
rank 5,Online-G,0.498227653209839
rank 6,chrf_bestmbr,0.49621525216601153
rank 7,AISP-SJTU,0.49481004903047243
rank 8,HuaweiTSC,0.4942566833380077
rank 9,bleurt_bestmbr,0.49067000163293967
rank 10,bleu_bestmbr,0.4899858835905629
rank 11,Online-Y,0.48925846682218316
rank 12,Online-B,0.48800952157762817
rank 13,Online-A,0.48788354682956864
rank 14,Lan-Bridge,0.4823654104936031
rank 15,DLUT,0.4816206139609676
rank 16,NiuTrans,0.47831759495783016
rank 17,Online-W,0.4712774348772581
rank 18,comet_bestmbr,0.4621148789769743
rank 19,QUARTZ_TuneReranking,0.4590184038044134
rank 20,M2M100_1.2B-B4,0.45287130414782684
