,System,Score
rank 1,refA,1.0
rank 2,chrf_bestmbr,0.5996397923508846
rank 3,Online-B,0.5936010170568916
rank 4,Online-A,0.5932831867782604
rank 5,Online-Y,0.592382667655472
rank 6,bleurt_bestmbr,0.5852126272600948
rank 7,NiuTrans,0.5842685214163826
rank 8,DLUT,0.5801748927778297
rank 9,bleu_bestmbr,0.5782921919694883
rank 10,Online-G,0.5778154465515415
rank 11,Lan-Bridge,0.5746371437652293
rank 12,HuaweiTSC,0.5708231804216548
rank 13,AISP-SJTU,0.5676978493484479
rank 14,refB,0.5648806349601917
rank 15,Online-W,0.5644605882751352
rank 16,LanguageX,0.5566797330225659
rank 17,JDExploreAcademy,0.5441254370166331
rank 18,M2M100_1.2B-B4,0.5351663980709159
rank 19,QUARTZ_TuneReranking,0.5197034633207306
rank 20,comet_bestmbr,0.5134005519987448
