,System,Score
rank 1,comet_bestmbr,1.7310234785966865
rank 2,bleurt_bestmbr,1.7251315623054289
rank 3,chrf_bestmbr,1.7009621125623902
rank 4,QUARTZ_TuneReranking,1.6988167319112777
rank 5,Online-Y,1.68224194997555
rank 6,DLUT,1.679154666720113
rank 7,Online-G,1.6786246490989365
rank 8,bleu_bestmbr,1.6767158682225207
rank 9,HuaweiTSC,1.6761697090519128
rank 10,LanguageX,1.672175764419245
rank 11,refA,1.670366241347974
rank 12,Online-B,1.6680121405872155
rank 13,JDExploreAcademy,1.6680074749163922
rank 14,AISP-SJTU,1.667888065595465
rank 15,Online-A,1.6616685958903432
rank 16,Online-W,1.6560978761709544
rank 17,NiuTrans,1.6411730514680805
rank 18,Lan-Bridge,1.6331443156093624
rank 19,M2M100_1.2B-B4,1.6216043525225783
rank 20,refB,1.6162396070507044
