,System,Score
rank 1,refA,2.1541031348374
rank 2,refB,1.4309433068111763
rank 3,JDExploreAcademy,1.1957690182618754
rank 4,LanguageX,1.1872773753983348
rank 5,Online-G,1.1697645367110092
rank 6,AISP-SJTU,1.1672352393449228
rank 7,HuaweiTSC,1.1646546342815118
rank 8,chrf_bestmbr,1.1632269408828542
rank 9,bleurt_bestmbr,1.1600292287656606
rank 10,bleu_bestmbr,1.1531978435883155
rank 11,Online-Y,1.1453397400863898
rank 12,Online-B,1.130919483168208
rank 13,Online-A,1.126963931252342
rank 14,Lan-Bridge,1.1178163120056321
rank 15,DLUT,1.1089623124777164
rank 16,NiuTrans,1.0958751079564026
rank 17,comet_bestmbr,1.0638384246322925
rank 18,Online-W,1.062955409815451
rank 19,M2M100_1.2B-B4,0.9952289868924589
rank 20,QUARTZ_TuneReranking,0.9613507722846598
