,System,Score
rank 1,refB,0.8810389975847247
rank 2,refA,0.5757114372791328
rank 3,JDExploreAcademy,0.48084695239246905
rank 4,LanguageX,0.4806245133425949
rank 5,Online-G,0.4794743221790923
rank 6,chrf_bestmbr,0.4776679820680707
rank 7,AISP-SJTU,0.47711878724070844
rank 8,HuaweiTSC,0.47488978267036097
rank 9,bleurt_bestmbr,0.472075574598432
rank 10,Online-Y,0.47074766295482545
rank 11,bleu_bestmbr,0.4701831284166863
rank 12,Online-A,0.469667080348173
rank 13,Online-B,0.46876002578632586
rank 14,DLUT,0.46567240827771983
rank 15,Lan-Bridge,0.46370876625252133
rank 16,NiuTrans,0.4619650955786941
rank 17,Online-W,0.4545971708581769
rank 18,comet_bestmbr,0.4477269377860162
rank 19,QUARTZ_TuneReranking,0.445321553986728
rank 20,M2M100_1.2B-B4,0.44122204388577796
