,System,Score
rank 1,refB,1.0
rank 2,LanguageX,0.5822270695730436
rank 3,JDExploreAcademy,0.5809136253358339
rank 4,Online-G,0.5794373812294143
rank 5,AISP-SJTU,0.5780177349644631
rank 6,chrf_bestmbr,0.5730095715519412
rank 7,HuaweiTSC,0.5669179463019648
rank 8,refA,0.5649204746036246
rank 9,Online-A,0.563109835150881
rank 10,Online-Y,0.5627765871424291
rank 11,bleu_bestmbr,0.5617094377712764
rank 12,Online-B,0.5609640865908943
rank 13,Lan-Bridge,0.5600294778283198
rank 14,bleurt_bestmbr,0.5530468986423958
rank 15,NiuTrans,0.5521098682396184
rank 16,DLUT,0.5496115860219032
rank 17,Online-W,0.5323191061706385
rank 18,M2M100_1.2B-B4,0.5124782119675713
rank 19,QUARTZ_TuneReranking,0.4953200935389791
rank 20,comet_bestmbr,0.48877687516600754
