,System,Score
rank 1,refB,0.7114617517274736
rank 2,refA,0.6243337243783458
rank 3,chrf_bestmbr,0.6242056268133962
rank 4,bleurt_bestmbr,0.6233242533517945
rank 5,Online-G,0.6205938593598026
rank 6,LanguageX,0.6182670960550516
rank 7,QUARTZ_TuneReranking,0.6179143385168592
rank 8,JDExploreAcademy,0.6173297899731098
rank 9,Online-Y,0.616938059254651
rank 10,HuaweiTSC,0.6165497844580797
rank 11,AISP-SJTU,0.6159066338018045
rank 12,DLUT,0.6151563374664649
rank 13,Online-A,0.6135910094373677
rank 14,comet_bestmbr,0.6127721823720157
rank 15,Online-B,0.6123796043350156
rank 16,bleu_bestmbr,0.6118891520365514
rank 17,Online-W,0.6056611600230366
rank 18,NiuTrans,0.6056182519802968
rank 19,Lan-Bridge,0.6034588012934253
rank 20,M2M100_1.2B-B4,0.5948006670035128
