,System,Score
rank 1,refB,3.833405796412812
rank 2,refA,2.22977257946817
rank 3,JDExploreAcademy,1.5485005626899513
rank 4,LanguageX,1.536510317332046
rank 5,AISP-SJTU,1.5164580894253845
rank 6,Online-G,1.5076350909846266
rank 7,HuaweiTSC,1.4883319701582263
rank 8,chrf_bestmbr,1.4851773017287502
rank 9,bleu_bestmbr,1.4723410209597656
rank 10,bleurt_bestmbr,1.4629561348209612
rank 11,Online-Y,1.4544829538998676
rank 12,Online-B,1.4410724149594554
rank 13,Online-A,1.4388371303937364
rank 14,Lan-Bridge,1.431404007252151
rank 15,DLUT,1.4092757271389553
rank 16,NiuTrans,1.4054827691986773
rank 17,Online-W,1.3382303393519277
rank 18,comet_bestmbr,1.3079012419941871
rank 19,M2M100_1.2B-B4,1.2544959440201673
rank 20,QUARTZ_TuneReranking,1.15440532992697
