,System,Score
rank 1,refA,0.7500540948600452
rank 2,bleurt_bestmbr,0.6474934478280691
rank 3,comet_bestmbr,0.6432016420604333
rank 4,chrf_bestmbr,0.6420969819363636
rank 5,Online-G,0.6390727093186948
rank 6,LanguageX,0.6367042856523771
rank 7,bleu_bestmbr,0.6358352819848179
rank 8,refB,0.6356694776399703
rank 9,JDExploreAcademy,0.6355320347302955
rank 10,Online-B,0.6347952613209713
rank 11,HuaweiTSC,0.6345078632989739
rank 12,Online-Y,0.6341578125328358
rank 13,AISP-SJTU,0.6339256165320465
rank 14,Lan-Bridge,0.6316289594834377
rank 15,DLUT,0.6265863518838579
rank 16,NiuTrans,0.6260999988903609
rank 17,QUARTZ_TuneReranking,0.6256376814367716
rank 18,Online-A,0.62412944626252
rank 19,Online-W,0.6217453303605525
rank 20,M2M100_1.2B-B4,0.607732434422763
