,System,Score
rank 1,refA,1.5435944315878356
rank 2,comet_bestmbr,1.1125806724983123
rank 3,bleurt_bestmbr,1.0865970256731048
rank 4,refB,1.062730140249587
rank 5,chrf_bestmbr,1.0412847013265298
rank 6,Online-G,1.0281410888162141
rank 7,bleu_bestmbr,1.025008349002889
rank 8,Online-Y,1.016870036523985
rank 9,QUARTZ_TuneReranking,1.0120704483715603
rank 10,Online-B,1.0109986287571677
rank 11,Lan-Bridge,1.0109510390703675
rank 12,HuaweiTSC,1.0091381823575107
rank 13,AISP-SJTU,1.008836169293587
rank 14,LanguageX,1.005993803453932
rank 15,DLUT,0.999967226622128
rank 16,Online-W,0.9899212170576911
rank 17,NiuTrans,0.9873662953064699
rank 18,JDExploreAcademy,0.9829363068696333
rank 19,Online-A,0.9735227951009064
rank 20,M2M100_1.2B-B4,0.9459485077717149
