,System,Score
rank 1,refA,2.2415407627187833
rank 2,JDExploreAcademy,1.3385948329965909
rank 3,LanguageX,1.2878146120406078
rank 4,AISP-SJTU,1.254558025131802
rank 5,Online-G,1.2488061440772802
rank 6,bleu_bestmbr,1.239473609092172
rank 7,bleurt_bestmbr,1.2389470556265714
rank 8,chrf_bestmbr,1.234000467525926
rank 9,HuaweiTSC,1.2192887806215706
rank 10,Online-B,1.2180946417484133
rank 11,Lan-Bridge,1.2080227718981917
rank 12,Online-Y,1.1797655140045131
rank 13,Online-A,1.1483011575450306
rank 14,comet_bestmbr,1.1375439123557487
rank 15,NiuTrans,1.1282241482812596
rank 16,DLUT,1.1127497856387323
rank 17,Online-W,1.0695781939645392
rank 18,refB,1.0479325464473717
rank 19,QUARTZ_TuneReranking,1.0113771345281235
rank 20,M2M100_1.2B-B4,1.005247620176727
