,System,Score
rank 1,refB,1.7656121824130477
rank 2,comet_bestmbr,1.7335106113392604
rank 3,bleurt_bestmbr,1.723183362896293
rank 4,chrf_bestmbr,1.7073007602661248
rank 5,refA,1.7040251288821282
rank 6,Online-G,1.6939774092822115
rank 7,bleu_bestmbr,1.6807463731366352
rank 8,Online-Y,1.6790785715860088
rank 9,LanguageX,1.6775100131100147
rank 10,AISP-SJTU,1.6701579114228442
rank 11,JDExploreAcademy,1.6693567334351591
rank 12,HuaweiTSC,1.6682458615211766
rank 13,Online-B,1.6645347321552033
rank 14,Lan-Bridge,1.66014521298793
rank 15,DLUT,1.6497525821397583
rank 16,QUARTZ_TuneReranking,1.6415724370798
rank 17,Online-A,1.6403142551648122
rank 18,Online-W,1.6357968059925043
rank 19,NiuTrans,1.6305308429241252
rank 20,M2M100_1.2B-B4,1.5784915546386475
