,System,Score
rank 1,refB,1.8912004954036192
rank 2,refA,0.730289574358191
rank 3,bleurt_bestmbr,0.6921071249521268
rank 4,JDExploreAcademy,0.6916023913507503
rank 5,AISP-SJTU,0.6879443591937711
rank 6,chrf_bestmbr,0.6865948751595071
rank 7,LanguageX,0.6855678302548842
rank 8,Online-G,0.6814976644372495
rank 9,bleu_bestmbr,0.6786562147457357
rank 10,Lan-Bridge,0.6691921640367575
rank 11,Online-B,0.6583754312665829
rank 12,HuaweiTSC,0.6574608347948793
rank 13,comet_bestmbr,0.6474987846289313
rank 14,Online-Y,0.6411986455402603
rank 15,Online-A,0.622008859668086
rank 16,NiuTrans,0.613459053795345
rank 17,DLUT,0.6053513866156011
rank 18,Online-W,0.5807723424751406
rank 19,QUARTZ_TuneReranking,0.5396684156036561
rank 20,M2M100_1.2B-B4,0.5351150111699399
