,System,Score
rank 1,refA,0.8817983263705711
rank 2,refB,0.5716471288917979
rank 3,JDExploreAcademy,0.5006033258561988
rank 4,LanguageX,0.5005907977847168
rank 5,Online-G,0.4982276532604229
rank 6,chrf_bestmbr,0.49621525213228906
rank 7,AISP-SJTU,0.494810049300253
rank 8,HuaweiTSC,0.4942566833211464
rank 9,bleurt_bestmbr,0.49067000171724606
rank 10,bleu_bestmbr,0.4899858834893952
rank 11,Online-Y,0.4892584670751025
rank 12,Online-B,0.48800952145959914
rank 13,Online-A,0.48788354654292665
rank 14,Lan-Bridge,0.48236541035871283
rank 15,DLUT,0.4816206139609676
rank 16,NiuTrans,0.4783175944519916
rank 17,Online-W,0.4712774345906162
rank 18,comet_bestmbr,0.4621148788252227
rank 19,QUARTZ_TuneReranking,0.4590184034166039
rank 20,M2M100_1.2B-B4,0.452871303743156
