,System,Score
rank 1,refA,0.6572272346290938
rank 2,refB,0.3676649784487774
rank 3,JDExploreAcademy,0.2811172480758149
rank 4,LanguageX,0.27837232756589997
rank 5,Online-G,0.27223939773423106
rank 6,AISP-SJTU,0.27206094530763025
rank 7,HuaweiTSC,0.2702578664855483
rank 8,chrf_bestmbr,0.26765289826243277
rank 9,bleu_bestmbr,0.2660279045534342
rank 10,Online-Y,0.26315392486313693
rank 11,bleurt_bestmbr,0.2629966828908246
rank 12,Online-B,0.2605252692998527
rank 13,Online-A,0.26002699846068206
rank 14,Lan-Bridge,0.259595435264585
rank 15,DLUT,0.2516327854853815
rank 16,NiuTrans,0.2515432147931308
rank 17,Online-W,0.23914526767793884
rank 18,comet_bestmbr,0.22920695067690167
rank 19,M2M100_1.2B-B4,0.2200103860627979
rank 20,QUARTZ_TuneReranking,0.20362914774343907
