,System,Score
rank 1,refA,0.20568535929991047
rank 2,comet_bestmbr,0.15521218419210805
rank 3,bleurt_bestmbr,0.1533482286728309
rank 4,QUARTZ_TuneReranking,0.15108535650151617
rank 5,chrf_bestmbr,0.14971634389247385
rank 6,DLUT,0.14701112951830453
rank 7,Online-Y,0.14700728021557477
rank 8,bleu_bestmbr,0.14626131833528597
rank 9,Online-G,0.14623291227927956
rank 10,HuaweiTSC,0.1457544704471692
rank 11,Online-B,0.1452584218955558
rank 12,LanguageX,0.1449315569350295
rank 13,AISP-SJTU,0.14471241598687126
rank 14,Online-W,0.14452559462334352
rank 15,JDExploreAcademy,0.14429155854885858
rank 16,Online-A,0.14428248502138058
rank 17,NiuTrans,0.14173034212656294
rank 18,M2M100_1.2B-B4,0.14049794362303722
rank 19,Lan-Bridge,0.14015779660773217
rank 20,refB,0.13446955350486908
