,System,Score
rank 1,refB,0.8810389972643603
rank 2,refA,0.5757114370936586
rank 3,JDExploreAcademy,0.48084695256108184
rank 4,LanguageX,0.4806245133931787
rank 5,Online-G,0.47947432209478585
rank 6,chrf_bestmbr,0.47766798215237716
rank 7,AISP-SJTU,0.4771187873081536
rank 8,HuaweiTSC,0.4748897825186094
rank 9,bleurt_bestmbr,0.4720755745815707
rank 10,Online-Y,0.47074766302227067
rank 11,bleu_bestmbr,0.4701831282312122
rank 12,Online-A,0.4696670808202891
rank 13,Online-B,0.4687600258537709
rank 14,DLUT,0.46567240800793935
rank 15,Lan-Bridge,0.4637087660670472
rank 16,NiuTrans,0.4619650955618328
rank 17,Online-W,0.4545971708581769
rank 18,comet_bestmbr,0.44772693751623566
rank 19,QUARTZ_TuneReranking,0.4453215542396473
rank 20,M2M100_1.2B-B4,0.4412220438689168
