,System,Score
rank 1,refB,0.204984704568199
rank 2,comet_bestmbr,0.1538224910354675
rank 3,bleurt_bestmbr,0.1527276537363785
rank 4,QUARTZ_TuneReranking,0.15123588468040708
rank 5,chrf_bestmbr,0.15070428456611595
rank 6,Online-G,0.14836803689745728
rank 7,DLUT,0.14818704381465136
rank 8,Online-Y,0.14818560294597777
rank 9,HuaweiTSC,0.14771224170581163
rank 10,JDExploreAcademy,0.14754898551403292
rank 11,LanguageX,0.14745313999520193
rank 12,AISP-SJTU,0.14669677930780417
rank 13,bleu_bestmbr,0.14635627712855734
rank 14,Online-A,0.14607285030497844
rank 15,Online-B,0.14583241848031392
rank 16,Online-W,0.14492710302994213
rank 17,NiuTrans,0.14334316106673642
rank 18,Lan-Bridge,0.14174434897699814
rank 19,M2M100_1.2B-B4,0.14135231588331484
rank 20,refA,0.13619573449199232
