,System,Score
rank 1,refB,0.5496552591175494
rank 2,refA,0.31422974745431065
rank 3,JDExploreAcademy,0.24339052790198837
rank 4,LanguageX,0.24226565791276838
rank 5,AISP-SJTU,0.2398146090810283
rank 6,Online-G,0.2397162423263524
rank 7,chrf_bestmbr,0.23830801661985673
rank 8,HuaweiTSC,0.23730587717899385
rank 9,bleurt_bestmbr,0.23626504839449872
rank 10,bleu_bestmbr,0.23478787035743331
rank 11,Online-Y,0.23398873001489676
rank 12,Online-B,0.23181421051755763
rank 13,Online-A,0.23176060006039897
rank 14,Lan-Bridge,0.22948956879707635
rank 15,DLUT,0.22894155300043098
rank 16,NiuTrans,0.22697424465985197
rank 17,Online-W,0.22002051933260858
rank 18,comet_bestmbr,0.21904146991446025
rank 19,M2M100_1.2B-B4,0.2096855998997534
rank 20,QUARTZ_TuneReranking,0.2037739946862975
