,System,Score
rank 1,refA,0.8978682058638248
rank 2,JDExploreAcademy,0.5432829834748049
rank 3,LanguageX,0.5300916340926608
rank 4,AISP-SJTU,0.5182817981201825
rank 5,Online-G,0.5179832633160608
rank 6,chrf_bestmbr,0.5161035523781018
rank 7,bleu_bestmbr,0.5145205709182928
rank 8,Online-B,0.5121998319943852
rank 9,bleurt_bestmbr,0.5119836089728412
rank 10,HuaweiTSC,0.5108299489431039
rank 11,Lan-Bridge,0.5062293857152457
rank 12,Online-Y,0.5011647352791121
rank 13,Online-A,0.49527275444573654
rank 14,NiuTrans,0.49320033490818965
rank 15,DLUT,0.48702303246621825
rank 16,comet_bestmbr,0.4836040848778365
rank 17,Online-W,0.4772122665236705
rank 18,refB,0.4723790224440108
rank 19,QUARTZ_TuneReranking,0.4663549669564309
rank 20,M2M100_1.2B-B4,0.45791640533193334
