,System,Score
rank 1,refA,1.0
rank 2,DLUT,0.5869946044425759
rank 3,Online-W,0.5730586935114866
rank 4,NiuTrans,0.5726998808773036
rank 5,Online-Y,0.5567234251278818
rank 6,bleurt_bestmbr,0.5558825590358069
rank 7,Online-A,0.5494359189965664
rank 8,M2M100_1.2B-B4,0.5476996736846284
rank 9,refB,0.5429948648498768
rank 10,chrf_bestmbr,0.5422184850395908
rank 11,QUARTZ_TuneReranking,0.540291808643478
rank 12,comet_bestmbr,0.5390415293735539
rank 13,Online-B,0.523929647536963
rank 14,HuaweiTSC,0.5237895031882839
rank 14,Lan-Bridge,0.5237895031882839
rank 15,Online-G,0.5184640179384766
rank 16,bleu_bestmbr,0.5139093266064046
rank 17,JDExploreAcademy,0.5069380311163931
rank 18,AISP-SJTU,0.49527012823207905
rank 19,LanguageX,0.4723565272230397
