,System,Score
rank 1,refA,0.5663399433087548
rank 2,JDExploreAcademy,0.2935146258032194
rank 3,LanguageX,0.28274668990480273
rank 4,AISP-SJTU,0.274611660378473
rank 5,Online-G,0.2739913053764683
rank 6,chrf_bestmbr,0.2718194569713451
rank 7,bleu_bestmbr,0.2713256078263889
rank 8,bleurt_bestmbr,0.2706483233384738
rank 9,Online-B,0.2684155217671126
rank 10,HuaweiTSC,0.26681951558373374
rank 11,Lan-Bridge,0.26555962293167623
rank 12,Online-Y,0.2599915699199004
rank 13,Online-A,0.25406110071392923
rank 14,NiuTrans,0.25048938596988696
rank 15,comet_bestmbr,0.24806609599627358
rank 16,DLUT,0.24710069400125906
rank 17,Online-W,0.23764719272606366
rank 18,refB,0.23412818256919268
rank 19,QUARTZ_TuneReranking,0.22742215735858348
rank 20,M2M100_1.2B-B4,0.2243890335767409
