,System,Score
rank 1,refA,0.00040432737631025873
rank 2,comet_bestmbr,-0.021367788947588118
rank 3,bleurt_bestmbr,-0.025284308773071633
rank 4,refB,-0.02780810665669151
rank 5,chrf_bestmbr,-0.030899824732997776
rank 6,bleu_bestmbr,-0.03121549964076151
rank 7,Online-G,-0.031461192032349254
rank 8,HuaweiTSC,-0.031932721005029543
rank 9,QUARTZ_TuneReranking,-0.032095184124196055
rank 10,LanguageX,-0.03257414528507772
rank 11,Online-Y,-0.03257560841919086
rank 12,AISP-SJTU,-0.03281309719391009
rank 13,Lan-Bridge,-0.0330786624677205
rank 14,Online-B,-0.033083000952936044
rank 15,DLUT,-0.03432898353490347
rank 16,JDExploreAcademy,-0.03460843791856622
rank 17,Online-W,-0.03522811695271766
rank 18,NiuTrans,-0.035439703850209295
rank 19,Online-A,-0.03729556399445393
rank 20,M2M100_1.2B-B4,-0.04010403343074858
