,System,Score
rank 1,refB,0.8959295414652686
rank 2,refA,0.47218464834777085
rank 3,chrf_bestmbr,0.46400302079474137
rank 4,Online-G,0.4617096508345072
rank 5,JDExploreAcademy,0.4609785427515683
rank 6,LanguageX,0.46044689066671995
rank 7,bleurt_bestmbr,0.4596348242869016
rank 8,AISP-SJTU,0.4590875821258136
rank 9,bleu_bestmbr,0.456749674093066
rank 10,Online-B,0.4541294320845259
rank 11,HuaweiTSC,0.45352128775515416
rank 12,Lan-Bridge,0.4521217440297007
rank 13,Online-Y,0.4494358941034387
rank 14,Online-A,0.44549047361360355
rank 15,NiuTrans,0.4436932896737669
rank 16,DLUT,0.4405863014258154
rank 17,comet_bestmbr,0.43968831794635105
rank 18,Online-W,0.4360829463345561
rank 19,QUARTZ_TuneReranking,0.4244866527548719
rank 20,M2M100_1.2B-B4,0.4191093754733642
